source,target,value
SW_CVPFKC,1803033PD,2788.883864
RES_MLRTN,SW_CVPFKC,2788.883864
FRESNOID,1803033PD,32783.32983
1803033GW,1803033PD,77493.78631
GW1803-5-22,GW1803-5-22.08,101220.42
GW1803-5-22.08,1803033GW,77493.78631
1803033PD,1803033E,113066.0
1803033TREC,1803033NPD,60.59609593
WW_1803_995,1803033TREC,60.59609593
FRESNOID,1803033NPD,6260.0
1803033SREC,1803033NPD,8701.403904
WW_1803_995,1803033SREC,8503.000558
WW_1803_2012,1803033SREC,198.4033463
1803033NPD,1803033E,15022.0
GW1803-5-22.08,Other,23726.633690000002
1803033PD,Other,4.0000013541430235e-06
1803033SREC,Other,2.999986463692039e-07
Other to 1803033NPD,1803033NPD,6.999835022725165e-08
