year,data_year,source,target,cumulative_volume_af,transmission_kwh/af,treatment_kwh/af,used_vol_af
2010-01-01,2010,1801001PD,Arcata City of,1624.0,163.1,0.0,1624.0
2015-01-01,2010,1801001PD,Arcata City of,1693.0,163.1,0.0,1693.0
2020-01-01,2010,1801001PD,Arcata City of,1766.0,163.1,0.0,1766.0
2025-01-01,2010,1801001PD,Arcata City of,1847.0,163.1,0.0,1847.0
2030-01-01,2010,1801001PD,Arcata City of,1925.0,163.1,0.0,1925.0
2035-01-01,2010,1801001PD,Arcata City of,1925.0,163.1,0.0,1925.0
2035-01-01,2010,1801007NPD,Crescent City City of,2.0,195.72,0.0,2.0
2015-01-01,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
2020-01-01,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
2025-01-01,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
2030-01-01,2010,1801007NPD,Crescent City City of,4.0,195.72,0.0,4.0
2010-01-01,2010,1801007PD,Crescent City City of,2015.2,163.1,0.0,2015.2
2015-01-01,2010,1801007PD,Crescent City City of,2235.04,163.1,0.0,2235.04
2020-01-01,2010,1801007PD,Crescent City City of,2308.32,163.1,0.0,2308.32
2025-01-01,2010,1801007PD,Crescent City City of,2344.96,163.1,0.0,2344.96
2030-01-01,2010,1801007PD,Crescent City City of,2418.24,163.1,0.0,2418.24
2035-01-01,2010,1801007PD,Crescent City City of,2418.24,163.1,0.0,2418.24
2035-01-01,2010,1801007REC,1801007NPD,2.0,0.0,236.0,2.0
2015-01-01,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
2020-01-01,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
2025-01-01,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
2030-01-01,2010,1801007REC,1801007NPD,4.0,0.0,236.0,4.0
2015-01-01,2010,1801009PD,1801017PD,337.0030977,25.0,0.0,333.18960439999995
2030-01-01,2010,1801009PD,1801017PD,557.4296086,25.0,0.0,551.6026481
2035-01-01,2010,1801009PD,1801017PD,557.4296086,25.0,0.0,551.6026481
2020-01-01,2010,1801009PD,1801017PD,557.535517,25.0,0.0,551.6026481
2025-01-01,2010,1801009PD,1801017PD,557.7448366,25.0,0.0,551.6026481
2010-01-01,2010,1801009PD,1801017PD,561.7675055,25.0,0.0,557.003898
2010-01-01,2010,1801009PD,Eureka City of,2924.55,163.1,0.0,2924.55
2015-01-01,2010,1801009PD,Eureka City of,3184.51,163.1,0.0,3184.51
2020-01-01,2010,1801009PD,Eureka City of,3249.5,163.1,0.0,3249.5
2025-01-01,2010,1801009PD,Eureka City of,3379.48,163.1,0.0,3379.48
2030-01-01,2010,1801009PD,Eureka City of,3444.47,163.1,0.0,3444.47
2035-01-01,2010,1801009PD,Eureka City of,3444.47,163.1,0.0,3444.47
2010-01-01,2010,1801011PD,Fortuna City of,1350.0,163.1,0.0,1350.0
2015-01-01,2010,1801011PD,Fortuna City of,1421.64,163.1,0.0,1421.64
2020-01-01,2010,1801011PD,Fortuna City of,1525.0,163.1,0.0,1525.0
2025-01-01,2010,1801011PD,Fortuna City of,1606.77,163.1,0.0,1606.77
2030-01-01,2010,1801011PD,Fortuna City of,1707.75,163.1,0.0,1707.75
2035-01-01,2010,1801011PD,Fortuna City of,1707.75,163.1,0.0,1707.75
2010-01-01,2010,1801015PD,1801017PD,616.9228606,25.0,0.0,611.6915534
2020-01-01,2010,1801015PD,1801017PD,648.2350748,25.0,0.0,641.3370502
2025-01-01,2010,1801015PD,1801017PD,667.1588955,25.0,0.0,659.81178
2030-01-01,2010,1801015PD,1801017PD,688.118847,25.0,0.0,680.925757
2035-01-01,2010,1801015PD,1801017PD,688.118847,25.0,0.0,680.925757
2030-01-01,2010,1801015PD,Humboldt Bay Municipal Water District,728.0,163.1,0.0,728.0
2020-01-01,2010,1801015PD,Humboldt Bay Municipal Water District,784.0,163.1,0.0,784.0
2025-01-01,2010,1801015PD,Humboldt Bay Municipal Water District,784.0,163.1,0.0,784.0
2015-01-01,2010,1801015PD,1801017PD,819.8018619,25.0,0.0,810.5250661
2010-01-01,2010,1801015PD,Humboldt Bay Municipal Water District,840.0,163.1,0.0,840.0
2015-01-01,2010,1801015PD,Humboldt Bay Municipal Water District,840.0,163.1,0.0,840.0
2010-01-01,2010,1801015PD,1801019PD,1415.0,25.0,0.0,1414.56
2010-01-01,2010,1801015PD,1801001PD,1460.717391,87.0,0.0,1460.717391
2015-01-01,2010,1801015PD,1801001PD,1522.779891,87.0,0.0,1522.779891
