year,source,target,cumulative_volume_af,transmission_kwh/af
2010,1805017PD,1805017E,14839.08,223.0
2010,1805019PD,1805019E,8041.75,294.0
2010,1805023PD,1805023E,1902.6,318.2
2010,1805025NPD,1805025E,4250.0,381.84
2010,1805025PD,1805025E,62560.0,361.0
2010,1805027NPD,1805027E,547.0,381.84
2010,1805027PD,1805027E,4130.19,318.2
2010,1805029NPD,1805029E,1264.0,381.84
2010,1805029PD,1805029E,8742.0,318.2
2010,1805031NPD,1805031E,10080.0,381.84
2010,1805031PD,1805031E,153891.39,318.2
2010,1805033PD,1805033E,1886.0,318.2
2010,1805035PD,1805035E,4884.0,318.2
2010,1805039PD,1805039E,1904.43,120.0
2010,1805043PD,1805043E,16215.71,318.2
2010,1805045PD,1805045E,3252.51,318.2
2010,1805047NPD,1805047E,1313.485776,381.84
2010,1805047PD,1805047E,3890.864033,318.2
2010,1805049NPD,1805049E,514.0,381.84
2010,1805049PD,1805049E,21539.0,318.2
2010,1805051PD,1805051E,3806.1,318.2
2010,1805053PD,1805053E,3391.0,318.2
2010,1805055PD,1805055E,2911.3,318.2
2010,1805057NPD,1805057E,7.5,381.84
2010,1805057PD,1805057E,2337.09,318.2
2010,1805059NPD,1805059E,806.5587695,381.84
2010,1805059PD,1805059E,8294.110193,318.2
2010,1805061NPD,1805061E,194.5,381.84
2010,1805061PD,1805061E,10739.82,318.2
2010,1805063PD,1805063E,11858.1,318.2
2010,1805067NPD,1805067E,70.0,381.84
2010,1805067PD,1805067E,8124.52,318.2
2010,1805071PD,1805071E,7920.0,318.2
2010,1805073NPD,1805073E,459.0,381.84
2010,1805073PD,1805073E,7278.32,318.2
2010,1805075PD,1805075E,14884.68,318.2
2010,1805077NPD,1805077E,380.0,381.84
2010,1805077PD,1805077E,9427.11,318.2
2010,1805079PD,1805079E,3630.0900060000004,318.2
2010,1805081NPD,1805081E,936.32,318.2
2010,1805081PD,1805081E,78371.15192999999,318.2
2010,1805083NPD,1805083E,3339.0,381.84
